Gamma_target,Gamma_realised,attainable,Gamma,arm,n_seeds,n_eff,adwin_impl,river_version,FPR_CUSUM,FPR_CUSUM_low,FPR_CUSUM_high,n_preonset_leak_CUSUM,arm_CUSUM,FPR_PHT,FPR_PHT_low,FPR_PHT_high,n_preonset_leak_PHT,arm_PHT,FPR_ADWIN,FPR_ADWIN_low,FPR_ADWIN_high,n_preonset_leak_ADWIN,arm_ADWIN,FPR_DDM,FPR_DDM_low,FPR_DDM_high,n_preonset_leak_DDM,arm_DDM,FPR_EDDM,FPR_EDDM_low,FPR_EDDM_high,n_preonset_leak_EDDM,arm_EDDM
137.77777777777777,137.77777777777555,True,137.77777777777555,warmstart,5000,5000,river,0.23.0,0.078,0.070886564101426616,0.085761376340201603,169,warmstart,0.053800000000000001,0.047881746983892109,0.060403350231876887,133,warmstart,0.00080000000000000004,0.00031114697610156263,0.0020553266458434704,2,warmstart,0.021999999999999999,0.018286209661005734,0.026447713398468881,518,warmstart,0.2742,0.26201156080096427,0.28673513339742357,4592,warmstart
153.33333333333331,153.3333333333353,True,153.3333333333353,warmstart,5000,5000,river,0.23.0,0.078,0.070886564101426616,0.085761376340201603,169,warmstart,0.053800000000000001,0.047881746983892109,0.060403350231876887,133,warmstart,0.00080000000000000004,0.00031114697610156263,0.0020553266458434704,2,warmstart,0.021999999999999999,0.018286209661005734,0.026447713398468881,518,warmstart,0.2742,0.26201156080096427,0.28673513339742357,4592,warmstart
168.88888888888889,168.88888888888508,True,168.88888888888508,warmstart,5000,5000,river,0.23.0,0.078,0.070886564101426616,0.085761376340201603,169,warmstart,0.053800000000000001,0.047881746983892109,0.060403350231876887,133,warmstart,0.00080000000000000004,0.00031114697610156263,0.0020553266458434704,2,warmstart,0.021999999999999999,0.018286209661005734,0.026447713398468881,518,warmstart,0.2742,0.26201156080096427,0.28673513339742357,4592,warmstart
184.44444444444446,184.44444444444062,True,184.44444444444062,warmstart,5000,5000,river,0.23.0,0.078,0.070886564101426616,0.085761376340201603,169,warmstart,0.053800000000000001,0.047881746983892109,0.060403350231876887,133,warmstart,0.00080000000000000004,0.00031114697610156263,0.0020553266458434704,2,warmstart,0.021999999999999999,0.018286209661005734,0.026447713398468881,518,warmstart,0.2742,0.26201156080096427,0.28673513339742357,4592,warmstart
200,199.99999999999488,True,199.99999999999488,warmstart,5000,5000,river,0.23.0,0.078,0.070886564101426616,0.085761376340201603,169,warmstart,0.053800000000000001,0.047881746983892109,0.060403350231876887,133,warmstart,0.00080000000000000004,0.00031114697610156263,0.0020553266458434704,2,warmstart,0.021999999999999999,0.018286209661005734,0.026447713398468881,518,warmstart,0.2742,0.26201156080096427,0.28673513339742357,4592,warmstart
1,1.1739130434782608,False,1.1739130434782608,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
6.4444444444444446,6.4444444444444402,True,6.4444444444444402,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
11.888888888888889,11.888888888888962,True,11.888888888888962,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
17.333333333333336,17.333333333333339,True,17.333333333333339,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
22.777777777777779,22.777777777777651,True,22.777777777777651,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
28.222222222222221,28.222222222222214,True,28.222222222222214,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
33.666666666666671,33.666666666666899,True,33.666666666666899,as_submitted,5000,5000,river,0.23.0,0.076600000000000001,0.069548929086541242,0.084301160920533122,0,reset,0.051799999999999999,0.045993846130679042,0.058294321892870177,0,reset,0.00020000000000000001,3.5305783439365263e-05,0.0011320890808397363,0,reset,0.10340000000000001,0.095262601600940494,0.11214633958187883,0,reset,0.93159999999999998,0.92426659873458672,0.93827072094643993,0,reset
