source,ticker,c,arm,n_onsets,lambda_star,FPR_achieved,FPR_count,iso_fpr_matched,qmle_n_non_converged,qmle_n_frozen,qmle_fallback_frac,DetRate,CI_low,CI_high,ADD,SEM,add_reliable,n_detected,deff,deff_clamped,deff_lags,n_eff,SEM_design,CI_low_design,CI_high_design
Real_BTC,BTC,0.10000000000000001,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,0.41509433962264153,0.32586888065797293,0.51025856891110732,174.04545454545453,15.147891956598297,False,44,1.2827572543091554,False,24,34.301111805987595,17.156331867015815,0.26703966732044926,0.58025124665231198
Real_BTC,BTC,0.10000000000000001,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,0.52830188679245282,0.43395173468019432,0.62067244879677885,258.82142857142856,11.991655983593883,False,56,1,True,24,56,11.991655983593883,0.39999252475889002,0.6529776297664629
Real_BTC,BTC,0.14999999999999999,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,0.55660377358490565,0.46169918065155957,0.647549186302387,179.47457627118644,17.238102341189148,False,59,1,True,24,59,17.238102341189148,0.43026783947631964,0.67601940159611951
Real_BTC,BTC,0.14999999999999999,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,0.65094339622641506,0.55636588705482359,0.73496309148903372,235.05797101449275,12.081027358487969,False,69,1.0090000557307683,False,24,68.384535370542423,12.135270543701832,0.53269129230477574,0.75313915236489448
Real_BTC,BTC,0.20000000000000001,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,0.839622641509434,0.75810040339080709,0.89738979833287214,208.12359550561797,14.492429275520067,False,89,1,True,24,89,14.492429275520067,0.74961570775757147,0.90152475208195526
Real_BTC,BTC,0.20000000000000001,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,0.79245283018867929,0.70569635125160057,0.85875354467712328,210.48809523809524,11.695839304768851,False,84,1.581340685333801,False,24,53.119483220194681,14.707678064091938,0.66558038857227919,0.87987910171334149
Real_BTC,BTC,0.25,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,0.98113207547169812,0.93380072788814128,0.99481039122040427,161.26923076923077,11.301273940216882,True,104,2.396247347471947,False,24,43.401195669437264,17.494165260514169,0.88691120811818969,0.99710801458453313
Real_BTC,BTC,0.25,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,0.89622641509433965,0.82367815661589427,0.94106041206173152,186.08421052631579,10.370976582291927,False,95,1,True,24,95,10.370976582291927,0.81876467207511427,0.94288959493134117
Real_BTC,BTC,0.34999999999999998,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,101.38679245283019,6.0425624981536963,True,106,1,True,24,106,6.0425624981536963,0.96502724142652774,1
Real_BTC,BTC,0.34999999999999998,Eco,106,34.180670410156253,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,136.87735849056602,6.9936998403151218,True,106,1,True,24,106,6.9936998403151218,0.96502724142652774,1
Real_BTC,BTC,0.5,Concept,106,11.231463134765626,0.04716981132075472,5,True,0,0,0,1,0.96502724142652774,1,70.169811320754718,3.8073365991223098,True,106,1,True,24,106,3.8073365991223098,0.96502724142652774,1
